order_id,order_item_id,product_id,seller_id,price,freight_value
order_000000,1,prod_0189,seller_020,345.04,35.4
order_000000,1,prod_0391,seller_020,285.75,5.41
order_000001,1,prod_0351,seller_006,391.91,40.73
order_000001,1,prod_0474,seller_006,66.18,40.14
order_000002,1,prod_0211,seller_005,190.55,9.98
order_000003,1,prod_0110,seller_014,178.96,23.13
order_000003,1,prod_0398,seller_014,315.01,44.87
order_000004,1,prod_0215,seller_000,224.84,38.96
order_000004,1,prod_0385,seller_000,25.65,6.53
order_000005,1,prod_0201,seller_009,74.49,21.06
order_000005,1,prod_0414,seller_009,349.96,24.47
order_000006,1,prod_0006,seller_013,85.45,37.43
order_000007,1,prod_0086,seller_004,235.49,8.33
order_000008,1,prod_0033,seller_001,59.85,29.65
order_000008,1,prod_0066,seller_001,389.4,19.98
order_000009,1,prod_0098,seller_024,340.22,38.41
order_000009,1,prod_0361,seller_024,387.2,44.19
order_000010,1,prod_0130,seller_017,381.54,21.46
order_000011,1,prod_0066,seller_002,146.56,7.65
order_000012,1,prod_0320,seller_027,294.17,15.54
order_000013,1,prod_0345,seller_011,75.33,8.84
order_000014,1,prod_0459,seller_007,297.28,37.19
order_000014,1,prod_0144,seller_007,153.01,16.32
order_000015,1,prod_0076,seller_028,231.31,18.64
order_000015,1,prod_0344,seller_028,234.66,40.66
order_000016,1,prod_0197,seller_033,166.0,22.12
order_000016,1,prod_0212,seller_033,178.83,44.62
order_000017,1,prod_0193,seller_021,269.32,12.94
order_000017,1,prod_0405,seller_021,295.29,33.78
order_000018,1,prod_0268,seller_005,32.0,21.62
order_000019,1,prod_0249,seller_019,230.14,12.44
order_000020,1,prod_0260,seller_011,303.74,20.28
order_000020,1,prod_0016,seller_011,245.49,14.91
order_000021,1,prod_0457,seller_011,232.54,10.84
order_000022,1,prod_0216,seller_008,364.55,24.6
order_000023,1,prod_0042,seller_038,232.88,30.6
order_000023,1,prod_0419,seller_038,83.25,6.49
order_000024,1,prod_0119,seller_006,335.8,13.19
order_000024,1,prod_0189,seller_006,180.32,19.28
order_000025,1,prod_0047,seller_011,68.29,7.17
order_000026,1,prod_0018,seller_035,25.81,23.45
order_000027,1,prod_0095,seller_002,37.84,35.79
order_000027,1,prod_0374,seller_002,118.34,20.58
order_000028,1,prod_0185,seller_018,292.08,42.14
order_000029,1,prod_0322,seller_035,122.36,43.61
order_000029,1,prod_0408,seller_035,207.34,25.86
order_000030,1,prod_0174,seller_008,288.13,11.27
order_000031,1,prod_0175,seller_012,203.17,29.01
order_000031,1,prod_0353,seller_012,103.9,20.14
order_000032,1,prod_0130,seller_029,111.18,22.47
order_000032,1,prod_0201,seller_029,383.68,25.37
order_000033,1,prod_0291,seller_018,351.12,41.22
order_000034,1,prod_0363,seller_028,205.52,32.55
order_000035,1,prod_0174,seller_036,377.96,25.32
order_000036,1,prod_0434,seller_013,153.22,22.3
order_000036,1,prod_0117,seller_013,228.06,33.08
order_000037,1,prod_0102,seller_008,128.99,40.03
order_000037,1,prod_0126,seller_008,193.19,33.23
order_000038,1,prod_0137,seller_011,64.43,44.05
order_000038,1,prod_0196,seller_011,67.61,30.04
order_000039,1,prod_0077,seller_008,229.39,37.55
order_000040,1,prod_0055,seller_035,264.9,13.47
order_000040,1,prod_0104,seller_035,21.93,35.34
order_000041,1,prod_0059,seller_021,281.0,18.65
order_000042,1,prod_0057,seller_035,167.07,23.67
order_000043,1,prod_0321,seller_037,210.16,17.57
order_000043,1,prod_0194,seller_037,343.92,28.0
order_000044,1,prod_0124,seller_029,195.43,32.35
order_000045,1,prod_0333,seller_027,302.49,23.88
order_000046,1,prod_0021,seller_003,344.29,14.98
order_000047,1,prod_0495,seller_022,233.85,9.6
order_000047,1,prod_0003,seller_022,319.27,21.95
order_000048,1,prod_0487,seller_001,357.07,15.18
order_000049,1,prod_0162,seller_000,19.71,22.68
order_000050,1,prod_0289,seller_033,352.82,35.92
order_000051,1,prod_0004,seller_007,84.06,35.08
order_000051,1,prod_0074,seller_007,72.56,23.78
order_000052,1,prod_0178,seller_025,99.54,18.7
order_000053,1,prod_0496,seller_001,286.29,7.03
order_000054,1,prod_0136,seller_020,109.97,41.92
order_000054,1,prod_0446,seller_020,214.43,15.35
order_000055,1,prod_0042,seller_002,45.24,11.4
order_000056,1,prod_0226,seller_033,150.8,9.73
order_000057,1,prod_0376,seller_021,284.24,26.3
order_000057,1,prod_0449,seller_021,263.4,29.26
order_000058,1,prod_0473,seller_014,303.49,12.12
order_000058,1,prod_0300,seller_014,199.42,15.29
order_000059,1,prod_0203,seller_022,324.29,44.98
order_000059,1,prod_0217,seller_022,149.4,14.78
order_000060,1,prod_0189,seller_035,296.88,9.22
order_000061,1,prod_0128,seller_006,211.16,9.46
order_000062,1,prod_0291,seller_007,120.24,5.11
order_000063,1,prod_0100,seller_032,284.48,32.09
order_000064,1,prod_0463,seller_024,320.64,20.44
order_000065,1,prod_0049,seller_028,42.72,6.03
order_000066,1,prod_0145,seller_037,160.11,28.99
order_000066,1,prod_0260,seller_037,384.13,36.52
order_000067,1,prod_0359,seller_010,325.39,24.08
order_000068,1,prod_0217,seller_028,277.98,10.49
order_000069,1,prod_0246,seller_013,332.43,13.91
order_000069,1,prod_0296,seller_013,150.83,42.69
order_000070,1,prod_0441,seller_032,190.66,16.18
order_000070,1,prod_0409,seller_032,147.02,9.93
order_000071,1,prod_0170,seller_019,205.25,11.67
order_000072,1,prod_0155,seller_018,257.68,30.07
order_000072,1,prod_0191,seller_018,299.86,38.62
order_000073,1,prod_0064,seller_033,178.22,20.58
order_000074,1,prod_0380,seller_012,321.49,8.93
order_000074,1,prod_0427,seller_012,391.15,5.59
order_000075,1,prod_0381,seller_036,51.52,8.94
order_000076,1,prod_0388,seller_000,365.34,22.53
