order_id,customer_id,order_status,order_purchase_timestamp,order_estimated_delivery_date,order_delivered_customer_date
order_000000,cust_02945,delivered,2017-02-18 14:51:38,2017-02-25 23:16:58.668971,2017-02-27 20:14:07.560729
order_000001,cust_01542,delivered,2018-02-22 19:54:04,2018-03-03 07:51:00.388860,2018-02-27 21:50:35.044605
order_000002,cust_00617,delivered,2017-12-20 15:21:52,2017-12-31 14:45:42.589775,2017-12-29 23:17:33.981037
order_000003,cust_00061,delivered,2017-08-25 14:15:29,2017-09-03 09:03:26.702850,2017-09-03 08:59:10.118260
order_000004,cust_01586,delivered,2017-08-22 11:12:59,2017-08-31 05:27:47.729535,2017-09-02 20:37:47.173064
order_000005,cust_00402,delivered,2018-04-09 05:52:35,2018-04-18 07:16:29.043059,2018-04-17 00:53:06.220888
order_000006,cust_00678,delivered,2017-02-16 06:44:18,2017-02-26 04:14:13.436154,2017-02-21 20:16:50.993516
order_000007,cust_00205,delivered,2018-01-12 17:53:46,2018-01-20 14:01:28.798312,2018-01-19 17:10:21.746530
order_000008,cust_00287,delivered,2017-04-19 01:40:31,2017-04-26 05:54:56.398800,2017-04-28 18:51:46.664017
order_000009,cust_00195,delivered,2017-02-20 02:01:39,2017-03-01 05:08:32.192661,2017-02-27 17:23:28.252319
order_000010,cust_00387,delivered,2017-10-12 09:31:11,2017-10-20 14:21:51.211106,2017-10-22 06:11:40.621769
order_000011,cust_01500,delivered,2018-06-11 18:35:09,2018-06-20 18:40:29.142309,2018-06-22 22:10:36.477614
order_000012,cust_00953,delivered,2018-02-02 15:46:07,2018-02-09 04:16:42.436853,2018-02-09 08:19:51.735830
order_000013,cust_00486,delivered,2018-02-16 14:09:34,2018-02-25 19:59:30.717300,2018-02-20 09:41:59.810382
order_000014,cust_01920,delivered,2018-01-23 12:49:09,2018-02-01 11:32:20.168062,2018-01-28 11:02:23.095850
order_000015,cust_00907,shipped,2018-03-01 02:39:28,2018-03-10 20:58:40.476427,
order_000016,cust_01986,delivered,2017-10-05 07:57:47,2017-10-13 00:40:44.082809,2017-10-09 18:28:18.833378
order_000017,cust_02920,delivered,2017-03-11 01:54:29,2017-03-20 11:15:48.300655,2017-03-22 00:12:27.796486
order_000018,cust_02635,delivered,2018-03-30 18:11:44,2018-04-09 12:49:59.263668,2018-04-04 17:47:50.433494
order_000019,cust_02364,delivered,2017-09-01 18:01:12,2017-09-12 17:45:52.665861,2017-09-08 03:35:02.597147
order_000020,cust_00438,delivered,2017-09-28 06:11:39,2017-10-08 08:37:22.034884,2017-10-03 16:19:29.154271
order_000021,cust_01216,delivered,2017-07-20 07:01:49,2017-07-28 03:21:28.471001,2017-07-28 06:12:50.451138
order_000022,cust_01529,delivered,2017-04-09 07:37:08,2017-04-17 10:09:22.898841,2017-04-13 22:16:51.939604
order_000023,cust_02477,delivered,2018-05-16 21:20:35,2018-05-24 12:24:09.771636,2018-05-22 05:41:52.116023
order_000024,cust_01062,delivered,2018-02-27 11:43:28,2018-03-09 11:30:36.162088,2018-03-07 04:26:40.714491
order_000025,cust_02140,delivered,2017-12-14 18:17:23,2017-12-26 04:59:35.552028,2017-12-22 00:34:32.695436
order_000026,cust_02113,delivered,2017-08-06 10:46:18,2017-08-14 03:14:40.531382,2017-08-15 14:34:08.621428
order_000027,cust_01971,delivered,2018-03-21 16:45:23,2018-03-29 05:54:55.652251,2018-04-03 08:24:25.980915
order_000028,cust_00806,delivered,2017-10-22 12:40:47,2017-10-31 12:11:16.183428,2017-10-28 19:45:07.055376
order_000029,cust_02723,delivered,2017-08-28 06:41:11,2017-09-07 05:33:56.426862,2017-09-07 05:19:06.934034
order_000030,cust_00485,delivered,2017-09-01 21:01:52,2017-09-10 16:07:35.344683,2017-09-07 16:10:45.534144
order_000031,cust_00197,delivered,2017-05-03 17:00:52,2017-05-12 01:44:12.410114,2017-05-12 04:35:40.571261
order_000032,cust_02242,delivered,2017-02-19 18:27:50,2017-02-28 10:56:30.008056,2017-03-02 06:12:16.327477
order_000033,cust_01380,delivered,2017-10-27 22:45:19,2017-11-06 19:03:05.351834,2017-11-02 07:41:48.015072
order_000034,cust_02642,delivered,2018-04-25 05:58:13,2018-05-04 01:51:06.708300,2018-05-04 19:41:16.689518
order_000035,cust_02650,delivered,2017-02-04 02:11:50,2017-02-13 22:33:32.317190,2017-02-11 21:47:28.038595
order_000036,cust_01416,delivered,2018-04-09 13:58:28,2018-04-18 09:20:18.917513,2018-04-15 08:02:43.005436
order_000037,cust_02643,delivered,2018-03-23 07:49:40,2018-04-02 07:40:51.629740,2018-03-29 09:18:34.597114
order_000038,cust_02615,delivered,2017-05-30 10:27:31,2017-06-09 04:40:05.100985,2017-06-05 23:05:18.891786
order_000039,cust_00956,delivered,2017-12-08 05:37:55,2017-12-17 01:52:30.066885,2017-12-15 02:02:15.039546
order_000040,cust_01907,delivered,2017-03-31 09:33:47,2017-04-10 14:59:59.602020,2017-04-22 03:55:37.516480
order_000041,cust_00955,delivered,2018-02-14 09:26:16,2018-02-23 14:42:15.612425,2018-02-22 21:42:01.959130
order_000042,cust_01583,delivered,2018-01-14 08:24:48,2018-01-22 16:51:04.674003,2018-01-23 13:35:22.692109
order_000043,cust_01562,delivered,2017-07-11 17:48:57,2017-07-18 17:07:57.242213,2017-07-18 10:31:13.690468
order_000044,cust_00055,delivered,2017-02-06 14:13:25,2017-02-16 05:09:43.906440,2017-02-14 10:30:21.489361
order_000045,cust_02281,delivered,2018-06-09 11:22:54,2018-06-19 23:02:57.415802,2018-06-16 16:30:05.711742
order_000046,cust_02109,delivered,2017-08-29 02:42:18,2017-09-08 16:23:52.967102,2017-09-10 18:15:40.115309
order_000047,cust_02207,delivered,2018-04-28 13:41:51,2018-05-07 05:23:22.597270,2018-05-10 05:12:28.375580
order_000048,cust_00740,delivered,2018-01-02 04:12:01,2018-01-10 06:07:14.718403,2018-01-16 12:51:23.114205
order_000049,cust_01740,delivered,2018-02-25 07:32:22,2018-03-05 21:05:22.953790,2018-03-13 07:09:40.657047
order_000050,cust_01416,delivered,2018-02-15 09:57:27,2018-02-24 19:03:41.903967,2018-02-19 23:38:49.383682
order_000051,cust_02281,delivered,2017-04-16 03:23:27,2017-04-24 03:44:30.340448,2017-04-25 13:47:31.733776
order_000052,cust_00723,delivered,2017-07-16 09:20:51,2017-07-25 04:48:52.731420,2017-07-24 00:28:52.252189
order_000053,cust_02998,delivered,2017-09-10 06:24:23,2017-09-18 17:50:37.210090,2017-09-23 12:42:35.520317
order_000054,cust_02779,delivered,2017-09-26 20:23:39,2017-10-05 09:35:01.101692,2017-10-04 18:52:40.475995
