seller_id,seller_state
seller_000,RS
seller_001,RJ
seller_002,SC
seller_003,BA
seller_004,RS
seller_005,PE
seller_006,GO
seller_007,BA
seller_008,PE
seller_009,RS
seller_010,MG
seller_011,GO
seller_012,PR
seller_013,RJ
seller_014,RJ
seller_015,DF
seller_016,SP
seller_017,GO
seller_018,MG
seller_019,DF
seller_020,SC
seller_021,PE
seller_022,PE
seller_023,PR
seller_024,DF
seller_025,PE
seller_026,PR
seller_027,RS
seller_028,SP
seller_029,MG
seller_030,BA
seller_031,BA
seller_032,MG
seller_033,PR
seller_034,SC
seller_035,RJ
seller_036,PR
seller_037,GO
seller_038,MG
seller_039,PE
